g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,trick,grind,bring,,,nnnyn,nggnn,ygggn,ggggg,,
soare,solve,,,,,ggnng,ggggg,,,,
soare,pleat,cheat,,,,nnyny,nnggg,ggggg,,,
soare,tripe,brine,grime,,,nnnyg,nggng,nggng,ggggg,,
soare,betel,dwelt,exult,,,nnnny,nyyny,nnygg,ggggg,,
soare,reset,usher,,,,ynnyy,ynygn,ggggg,,,
soare,demon,epoch,,,,nynny,nynyn,ggggg,,,
soare,radar,triad,,,,nnyyn,ynygn,ggggg,,,
soare,later,bread,break,,,nnyyy,nynyy,ggggn,ggggg,,
soare,front,rhino,,,,nynyn,nyygn,ggggg,,,
soare,radar,viral,,,,nnyyn,ynngn,ggggg,,,
soare,donut,conic,,,,ngnnn,nggnn,ggggg,,,
soare,lapse,masse,,,,ynyng,ngngg,ggggg,,,
soare,sound,sonic,,,,ggnnn,ggnyn,ggggg,,,
soare,natal,vital,,,,nnynn,nnggg,ggggg,,,
soare,crate,trace,,,,nngyg,yggyg,ggggg,,,
soare,mushy,using,,,,ynnnn,nyynn,ggggg,,,
soare,death,peach,,,,nngny,nggng,ggggg,,,
soare,clank,champ,,,,nngnn,gngnn,ggggg,,,
soare,bloat,baton,,,,nyynn,gnyyy,ggggg,,,
soare,crate,grade,brake,,,nngyg,nggng,nggng,ggggg,,
soare,lunch,cluck,pluck,,,nnnnn,yyngn,ngggg,ggggg,,
soare,crate,craze,,,,nngyg,gggng,ggggg,,,
soare,tripe,gripe,,,,nnnyg,ngggg,ggggg,,,
soare,teary,weary,,,,nnggy,ngggg,ggggg,,,
soare,lunch,mimic,picky,,,nnnnn,nnnyn,ngnny,ggggg,,
soare,angle,acute,,,,nnyng,gnnng,ggggg,,,
soare,ferry,,,,,nnngy,ggggg,,,,
soare,lapse,aside,,,,ynyng,nynyg,ggggg,,,
soare,radar,tapir,,,,nnyyn,ngnng,ggggg,,,
soare,front,troll,,,,nynyn,nggny,ggggg,,,
soare,lunch,unify,,,,nnnnn,nyynn,ggggg,,,
soare,reset,rebus,,,,ynnyy,ggynn,ggggg,,,
soare,moist,boost,,,,ygnnn,ngngg,ggggg,,,
soare,crust,truss,,,,ynnyn,ngggy,ggggg,,,
soare,spine,siege,,,,gnnng,gnyng,ggggg,,,
soare,deter,tiger,,,,nnnyy,nnygg,ggggg,,,
soare,natal,banal,,,,nnynn,ygngg,ggggg,,,
soare,stink,slump,,,,gnnnn,gnnnn,ggggg,,,
soare,drawn,crank,,,,nngyn,nggny,ggggg,,,
soare,forge,gorge,,,,ngnyg,ngggg,ggggg,,,
soare,ferry,query,,,,nnngy,nyngg,ggggg,,,
soare,trick,drink,,,,nnnyn,nggng,ggggg,,,
soare,baron,valor,favor,,,nyyyn,ngygn,ygngg,ggggg,,
soare,pleat,haven,abbey,,,nnyny,nnyyn,nyngn,ggggg,,
soare,natal,taint,tangy,,,nnynn,ygynn,ggnyn,ggggg,,
soare,natal,candy,panic,,,nnynn,ygnnn,yggnn,ggggg,,
soare,solar,,,,,ggyyn,ggggg,,,,
soare,shire,,,,,gnngg,ggggg,,,,
soare,front,droop,proxy,,,nynyn,nggnn,nggny,ggggg,,
soare,donut,point,,,,ngnnn,ngyng,ggggg,,,
soare,north,motor,robot,,,ngnyn,ngyyn,ngygy,ggggg,,
soare,trick,prick,,,,nnnyn,ngggg,ggggg,,,
soare,guile,wince,,,,nnnng,nnyng,ggggg,,,
soare,trick,crimp,,,,nnnyn,nggyn,ggggg,,,
soare,blood,knoll,,,,nynnn,nygnn,ggggg,,,
soare,scrap,sugar,,,,gnyyn,gnygn,ggggg,,,
soare,clank,aback,whack,,,nngnn,yngng,nnggg,ggggg,,
soare,donut,mount,,,,ngnnn,ngyyg,ggggg,,,
soare,deter,perch,perky,,,nnnyy,ngnny,gggnn,ggggg,,
soare,donut,could,,,,ngnnn,ygnyn,ggggg,,,
soare,trick,wrung,,,,nnnyn,ngnnn,ggggg,,,
soare,lunch,light,,,,nnnnn,gnnny,ggggg,,,
soare,those,,,,,yynng,ggggg,,,,
soare,moist,,,,,ygnnn,ggggg,,,,
soare,stark,shard,,,,gnggn,gnggn,ggggg,,,
soare,pleat,,,,,nnyny,ggggg,,,,
soare,bloat,aloft,,,,nyynn,nggyg,ggggg,,,
soare,stink,skill,,,,gnnnn,gngny,ggggg,,,
soare,deter,elder,,,,nnnyy,yyngg,ggggg,,,
soare,crate,grade,brake,frame,,nngyg,nggng,nggng,nggng,ggggg,
soare,front,rigor,humor,,,nynyn,nyynn,nnngg,ggggg,,
soare,lapse,pause,,,,ynyng,ngygg,ggggg,,,
soare,deter,filer,ulcer,,,nnnyy,nnngg,nnygg,ggggg,,
soare,harry,ultra,,,,nnygn,nyngn,ggggg,,,
soare,north,round,robin,,,ngnyn,ygynn,ggnyn,ggggg,,
soare,lunch,cynic,,,,nnnnn,nngyn,ggggg,,,
soare,acorn,agora,,,,nyygn,gnggn,ggggg,,,
soare,baron,croak,aroma,,,nyyyn,nyyyn,nggyn,ggggg,,
soare,natal,daily,caulk,,,nnynn,ngnny,ngngn,ggggg,,
soare,slate,spade,shake,,,gngng,gngng,gngng,ggggg,,
soare,natal,pupal,,,,nnynn,nnngg,ggggg,,,
soare,vogue,dodge,,,,ngnng,ngyng,ggggg,,,
soare,stink,swill,,,,gnnnn,gngnn,ggggg,,,
soare,natal,tacit,,,,nnynn,ngynn,ggggg,,,
soare,tenor,other,,,,nynyy,yynyg,ggggg,,,
soare,chord,thorn,,,,nyngn,ngggn,ggggg,,,
soare,prove,trove,,,,nynyg,ngggg,ggggg,,,
soare,clone,globe,bloke,,,nynng,nggng,nggyg,ggggg,,
soare,lunch,digit,vivid,,,nnnnn,nnnnn,ygngn,ggggg,,
soare,stink,swill,spill,,,gnnnn,gngnn,gnggg,ggggg,,
soare,clank,chant,,,,nngnn,gnggn,ggggg,,,
soare,clone,choke,,,,nynng,gngng,ggggg,,,
soare,tripe,rupee,,,,nnnyg,nynyg,ggggg,,,
soare,nasty,,,,,ynynn,ggggg,,,,
soare,dowry,mourn,,,,ngngn,ngngn,ggggg,,,
soare,pleat,ahead,,,,nnyny,nnggn,ggggg,,,
soare,tripe,brine,,,,nnnyg,nggng,ggggg,,,
soare,blood,cloth,,,,nynnn,nggnn,ggggg,,,
soare,hoard,,,,,ngggn,ggggg,,,,
soare,spelt,sweet,,,,gnnny,gngng,ggggg,,,
soare,donut,month,,,,ngnnn,nggny,ggggg,,,
soare,lapse,,,,,ynyng,ggggg,,,,
soare,natal,patch,hatch,watch,,nnynn,nggnn,ngggg,ngggg,ggggg,
soare,nomad,today,,,,ngynn,ngngy,ggggg,,,
soare,moist,focus,,,,ygnnn,ngnyn,ggggg,,,
soare,spelt,smelt,,,,gnnny,gnggg,ggggg,,,
soare,cease,tease,,,,yngng,ngggg,ggggg,,,
soare,later,cater,,,,nnyyy,ngggg,ggggg,,,
soare,vogue,movie,,,,ngnng,ygnng,ggggg,,,
soare,lunch,lynch,,,,nnnnn,gnggg,ggggg,,,
soare,saute,,,,,gnyng,ggggg,,,,
soare,bloat,allow,,,,nyynn,ngyyn,ggggg,,,
soare,deter,rebel,renew,,,nnnyy,ngngy,ggngn,ggggg,,
soare,deter,their,,,,nnnyy,nyyng,ggggg,,,
soare,stoop,showy,slosh,,,gynnn,gngnn,gygnn,ggggg,,
soare,tripe,rupee,purge,,,nnnyg,nynyg,ygyng,ggggg,,
soare,guest,chest,,,,ynnny,nnggg,ggggg,,,
soare,demon,depot,,,,nynny,ggngn,ggggg,,,
soare,demon,epoch,epoxy,,,nynny,nynyn,gggnn,ggggg,,
soare,lunch,nymph,,,,nnnnn,nnyng,ggggg,,,
soare,donut,pound,found,,,ngnnn,ygyyn,ngggg,ggggg,,
soare,slant,scald,shall,,,gngnn,gygnn,gnggn,ggggg,,
soare,harry,,,,,nnygn,ggggg,,,,
soare,stoke,stove,,,,gynng,gggng,ggggg,,,
soare,donut,folio,lowly,,,ngnnn,ngnnn,ngynn,ggggg,,
