g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,pownd,wrote,,,,nynyg,nyynn,ggggg,,,
soare,clint,clock,,,,nynnn,ggnnn,ggggg,,,
soare,culti,tilde,,,,nnnng,nngyy,ggggg,,,
soare,chapt,store,,,,gyngg,nnnny,ggggg,,,
soare,pownd,prove,,,,nynyg,gynnn,ggggg,,,
soare,trick,gybed,bring,,,nnnyn,nggnn,ynynn,ggggg,,
soare,solve,,,,,ggnng,ggggg,,,,
soare,pleat,cheat,,,,nnyny,nnggg,ggggg,,,
soare,pudic,tribe,grime,,,nnnyg,nnnyn,nggng,ggggg,,
soare,denet,eight,exult,,,nnnny,nynng,gnnng,ggggg,,
soare,richt,fresh,usher,,,ynnyy,ynnyn,nyyyy,ggggg,,
soare,demon,epoch,,,,nynny,nynyn,ggggg,,,
soare,radar,triad,,,,nnyyn,ynygn,ggggg,,,
soare,talar,becke,break,,,nnyyy,nnngy,gynyn,ggggg,,
soare,cutin,rhino,,,,nynyn,nnnyy,ggggg,,,
soare,radar,viral,,,,nnyyn,ynngn,ggggg,,,
soare,culty,conic,,,,ngnnn,gnnnn,ggggg,,,
soare,ampul,masse,,,,ynyng,yynnn,ggggg,,,
soare,atony,sonic,,,,ggnnn,nnyyn,ggggg,,,
soare,clint,vital,,,,nnynn,nyyny,ggggg,,,
soare,diact,trace,,,,nngyg,nnggy,ggggg,,,
soare,mushy,using,,,,ynnnn,nyynn,ggggg,,,
soare,letch,peach,,,,nngny,ngngg,ggggg,,,
soare,plink,champ,,,,nngnn,ynnnn,ggggg,,,
soare,bloat,baton,,,,nyynn,gnyyy,ggggg,,,
soare,diact,grave,brake,,,nngyg,nngnn,nggng,ggggg,,
soare,clint,pluck,,,,nnnnn,ygnnn,ggggg,,,
soare,diact,avant,craze,,,nngyg,nngyn,nngnn,ggggg,,
soare,pudic,gripe,,,,nnnyg,ynnyn,ggggg,,,
soare,lathy,weary,,,,nnggy,nynng,ggggg,,,
soare,clint,mimic,picky,,,nnnnn,ynynn,ngnny,ggggg,,
soare,gault,acute,,,,nnyng,nygny,ggggg,,,
soare,feted,ferry,,,,nnngy,ggnnn,ggggg,,,
soare,ampul,aside,,,,ynyng,gnnnn,ggggg,,,
soare,radar,tapir,,,,nnyyn,ngnng,ggggg,,,
soare,cutin,throb,troll,,,nynyn,nnynn,gnyyn,ggggg,,
soare,clint,unify,,,,nnnnn,nngyn,ggggg,,,
soare,richt,rebus,,,,ynnyy,gnnnn,ggggg,,,
soare,fubsy,boost,,,,ygnnn,nnygn,ggggg,,,
soare,crust,truss,,,,ynnyn,ngggy,ggggg,,,
soare,pling,siege,,,,gnnng,nnyny,ggggg,,,
soare,deter,abrim,tiger,,,nnnyy,nnygg,nnyyn,ggggg,,
soare,clint,lanky,banal,,,nnynn,nynyn,yggnn,ggggg,,
soare,thilk,slump,,,,gnnnn,nnnyn,ggggg,,,
soare,clint,crank,,,,nngyn,gnngn,ggggg,,,
soare,faugh,gorge,,,,ngnyg,nnngn,ggggg,,,
soare,feted,query,,,,nnngy,nynnn,ggggg,,,
soare,trick,drink,,,,nnnyn,nggng,ggggg,,,
soare,baron,vampy,favor,,,nyyyn,ngygn,ygnnn,ggggg,,
soare,pleat,ahing,abbey,,,nnyny,nnyyn,gnnnn,ggggg,,
soare,clint,tangy,,,,nnynn,nnnyy,ggggg,,,
soare,clint,panic,,,,nnynn,ynyyn,ggggg,,,
soare,solar,,,,,ggyyn,ggggg,,,,
soare,shire,,,,,gnngg,ggggg,,,,
soare,cutin,droop,proxy,,,nynyn,nnnnn,nggny,ggggg,,
soare,culty,point,,,,ngnnn,nnnyn,ggggg,,,
soare,cyton,robot,,,,ngnyn,nnygn,ggggg,,,
soare,trick,abamp,prick,,,nnnyn,ngggg,nnnny,ggggg,,
soare,culti,wince,,,,nnnng,ynnny,ggggg,,,
soare,trick,crimp,,,,nnnyn,nggyn,ggggg,,,
soare,clint,knoll,,,,nynnn,nynyn,ggggg,,,
soare,cuppy,sugar,,,,gnyyn,ngnnn,ggggg,,,
soare,plink,aahed,whack,,,nngnn,nnnng,ynynn,ggggg,,
soare,culty,mount,,,,ngnnn,nynyn,ggggg,,,
soare,deter,cupid,perky,,,nnnyy,ngnny,nnynn,ggggg,,
soare,culty,could,,,,ngnnn,gyynn,ggggg,,,
soare,trick,wrung,,,,nnnyn,ngnnn,ggggg,,,
soare,clint,light,,,,nnnnn,nyyng,ggggg,,,
soare,aitch,those,,,,yynng,nnyny,ggggg,,,
soare,fubsy,abmho,moist,,,ygnnn,nnngn,nnyny,ggggg,,
soare,kempt,acidy,shard,,,gnggn,nnnnn,ynnyn,ggggg,,
soare,pleat,,,,,nnyny,ggggg,,,,
soare,bloat,aloft,,,,nyynn,nggyg,ggggg,,,
soare,thilk,skill,,,,gnnnn,nnggy,ggggg,,,
soare,deter,elder,,,,nnnyy,yyngg,ggggg,,,
soare,diact,grave,brake,frame,,nngyg,nngnn,nggng,nggng,ggggg,
soare,cutin,furor,humor,,,nynyn,ngnnn,ngngg,ggggg,,
soare,ampul,pause,,,,ynyng,ynyyn,ggggg,,,
soare,deter,pilch,ulcer,,,nnnyy,nnngg,nnyyn,ggggg,,
soare,humic,ultra,,,,nnygn,nynnn,ggggg,,,
soare,cyton,robin,,,,ngnyn,nnnyg,ggggg,,,
soare,clint,cynic,,,,nnnnn,gnyyn,ggggg,,,
soare,abaca,agora,,,,nyygn,gnnng,ggggg,,,
soare,baron,croak,aroma,,,nyyyn,nyyyn,nggyn,ggggg,,
soare,clint,caulk,,,,nnynn,gynnn,ggggg,,,
soare,thilk,shake,,,,gngng,ngnny,ggggg,,,
soare,clint,dampy,pupal,,,nnynn,nynnn,nynyn,ggggg,,
soare,pugil,dodge,,,,ngnng,nnynn,ggggg,,,
soare,thilk,swill,,,,gnnnn,nnggn,ggggg,,,
soare,clint,tacit,,,,nnynn,ynyng,ggggg,,,
soare,trued,other,,,,nynyy,yyngn,ggggg,,,
soare,acidy,thorn,,,,nyngn,nnnnn,ggggg,,,
soare,pownd,abaft,trove,,,nynyg,nynnn,nnnny,ggggg,,
soare,pling,bloke,,,,nynng,ngnnn,ggggg,,,
soare,clint,fudgy,vivid,,,nnnnn,nnynn,nnynn,ggggg,,
soare,thilk,swill,spill,,,gnnnn,nnggn,gnggg,ggggg,,
soare,plink,chant,,,,nngnn,nnngn,ggggg,,,
soare,pling,choke,,,,nynng,nnnnn,ggggg,,,
soare,pudic,rupee,,,,nnnyg,ygnnn,ggggg,,,
soare,nasty,,,,,ynynn,ggggg,,,,
soare,almud,mourn,,,,ngngn,nnyyn,ggggg,,,
soare,pleat,ahead,,,,nnyny,nnggn,ggggg,,,
soare,pudic,tribe,brine,,,nnnyg,nnnyn,nggyg,ggggg,,
soare,clint,cloth,,,,nynnn,ggnny,ggggg,,,
soare,hoard,,,,,ngggn,ggggg,,,,
soare,spelt,sweet,,,,gnnny,gngng,ggggg,,,
soare,culty,motto,month,,,ngnnn,nnngn,ggngn,ggggg,,
soare,ampul,lapse,,,,ynyng,yngny,ggggg,,,
soare,clint,bumph,hatch,watch,,nnynn,ynnny,nnnng,ngggg,ggggg,
soare,liman,today,,,,ngynn,nnngn,ggggg,,,
soare,fubsy,focus,,,,ygnnn,gynyn,ggggg,,,
soare,spelt,smelt,,,,gnnny,gnggg,ggggg,,,
soare,leuch,tease,,,,yngng,ngnnn,ggggg,,,
soare,talar,cahow,cater,,,nnyyy,ygnng,ggnnn,ggggg,,
soare,pugil,movie,,,,ngnng,nnngn,ggggg,,,
soare,clint,lynch,,,,nnnnn,yynyn,ggggg,,,
soare,saute,,,,,gnyng,ggggg,,,,
soare,bloat,allow,,,,nyynn,ngyyn,ggggg,,,
soare,deter,bavin,renew,,,nnnyy,ngngy,nnnny,ggggg,,
soare,deter,their,,,,nnnyy,nyyng,ggggg,,,
soare,cloot,slosh,,,,gynnn,nggnn,ggggg,,,
soare,pudic,purge,,,,nnnyg,ggnnn,ggggg,,,
soare,uneth,chest,,,,ynnny,nngyy,ggggg,,,
soare,demon,depot,,,,nynny,ggngn,ggggg,,,
soare,demon,epoch,epoxy,,,nynny,nynyn,gggnn,ggggg,,
soare,clint,nymph,,,,nnnnn,nnnyn,ggggg,,,
soare,culty,bumph,found,,,ngnnn,nynnn,nynnn,ggggg,,
soare,thilk,shall,,,,gngnn,ngngn,ggggg,,,
soare,humic,harry,,,,nnygn,gnnnn,ggggg,,,
soare,nempt,akela,stove,,,gynng,nynny,nnynn,ggggg,,
soare,culty,adown,lowly,,,ngnnn,nnyng,nnyyn,ggggg,,
soare,cloot,ethne,snout,,,gynnn,nngng,nynyn,ggggg,,
soare,pownd,trope,,,,nynyg,yynnn,ggggg,,,
soare,deter,favel,fewer,,,nnnyy,ngngg,gnngn,ggggg,,
soare,thilk,shawl,,,,gngnn,ngnyn,ggggg,,,
soare,clint,natal,,,,nnynn,nynyy,ggggg,,,
soare,there,fibre,,,,nnngg,nnngg,ggggg,,,
soare,liman,comma,,,,ngynn,nngyn,ggggg,,,
soare,malty,foray,,,,ngyyn,nynng,ggggg,,,
soare,chapt,scare,,,,gnggg,yngnn,ggggg,,,
soare,stair,,,,,gngyn,ggggg,,,,
soare,plink,abaft,black,,,nngnn,ngnng,nygnn,ggggg,,
soare,dault,squad,,,,gnynn,yygnn,ggggg,,,
soare,malty,royal,,,,ngyyn,nyyny,ggggg,,,
soare,clint,chunk,,,,nnnnn,gnngn,ggggg,,,
soare,culti,wince,mince,,,nnnng,ynnny,ngggg,ggggg,,
soare,thilk,slave,,,,gngng,nnnyn,ggggg,,,
soare,thilk,amped,shame,,,gngng,ngnnn,yynyn,ggggg,,
soare,denet,cheek,,,,nnnny,nyngn,ggggg,,,
soare,gault,ample,,,,nnyng,nyngn,ggggg,,,
soare,clint,flair,,,,nngyn,ngynn,ggggg,,,
soare,rewth,clonk,abaft,foyer,,ngnyy,yynnn,nnynn,nnnyn,ggggg,
soare,baron,cargo,,,,nyyyn,nggyn,ggggg,,,
soare,pling,oxide,,,,nynng,nngnn,ggggg,,,
